time,position,velocity,setpoint,output
2.2000,1.999992,0.001360,2.000000,0.625115
2.2200,2.000014,0.001204,2.000000,0.621021
2.2400,1.999995,-0.001971,2.000000,0.585313
2.2600,1.999994,0.000617,2.000000,0.616098
2.2800,2.000009,0.000977,2.000000,0.618852
2.3000,1.999997,-0.001318,2.000000,0.592945
2.3200,1.999995,0.000391,2.000000,0.613288
2.3400,2.000006,0.000683,2.000000,0.615683
2.3600,1.999998,-0.000876,2.000000,0.598011
2.3800,1.999997,0.000200,2.000000,0.610948
2.4000,2.000004,0.000512,2.000000,0.613856
2.4200,1.999999,-0.000585,2.000000,0.601340
2.4400,1.999997,0.000068,2.000000,0.609329
2.4600,2.000003,0.000396,2.000000,0.612626
2.4800,2.000000,-0.000386,2.000000,0.603623
2.5000,1.999998,-0.000011,2.000000,0.608278
2.5200,2.000002,0.000307,2.000000,0.611659
2.5400,2.000000,-0.000249,2.000000,0.605223
2.5600,1.999998,-0.000047,2.000000,0.607821
2.5800,2.000001,0.000228,2.000000,0.610800
2.6000,2.000000,-0.000156,2.000000,0.606346
2.6200,1.999999,-0.000041,2.000000,0.607840
2.6400,2.000001,0.000149,2.000000,0.609915
2.6600,2.000000,-0.000088,2.000000,0.607138
2.6800,1.999999,-0.000042,2.000000,0.607792
2.7000,2.000000,0.000097,2.000000,0.609326
2.7200,2.000000,-0.000042,2.000000,0.607682
2.7400,1.999999,-0.000042,2.000000,0.607769
2.7600,2.000000,0.000088,2.000000,0.609229
2.7800,2.000000,-0.000035,2.000000,0.607769
2.8000,2.000000,-0.000041,2.000000,0.607771
2.8200,2.000000,0.000068,2.000000,0.608999
2.8400,2.000000,-0.000018,2.000000,0.607960
2.8600,2.000000,-0.000038,2.000000,0.607794
2.8800,2.000000,0.000052,2.000000,0.608822
2.9000,2.000000,-0.000008,2.000000,0.608089
2.9200,2.000000,-0.000034,2.000000,0.607834
2.9400,2.000000,0.000039,2.000000,0.608680
2.9600,2.000000,-0.000001,2.000000,0.608173
2.9800,2.000000,-0.000029,2.000000,0.607889
3.0000,2.000000,0.000029,2.000000,0.608556
3.0200,2.000000,0.000003,2.000000,0.608228
3.0400,2.000000,-0.000025,2.000000,0.607933
3.0600,2.000000,0.000022,2.000000,0.608474
3.0800,2.000000,0.000003,2.000000,0.608233
3.1000,2.000000,-0.000020,2.000000,0.607990
3.1200,2.000000,0.000017,2.000000,0.608420
3.1400,2.000000,0.000000,2.000000,0.608207
3.1600,2.000000,-0.000014,2.000000,0.608057
3.1800,2.000000,0.000014,2.000000,0.608373
3.2000,2.000000,-0.000003,2.000000,0.608172
3.2200,2.000000,-0.000008,2.000000,0.608128
3.2400,2.000000,0.000010,2.000000,0.608330
3.2600,2.000000,-0.000005,2.000000,0.608155
3.2800,2.000000,-0.000003,2.000000,0.608178
3.3000,2.000000,0.000007,2.000000,0.608289
3.3200,2.000000,-0.000004,2.000000,0.608160
3.3400,2.000000,-0.000001,2.000000,0.608205
3.3600,2.000000,0.000004,2.000000,0.608257
3.3800,2.000000,-0.000003,2.000000,0.608170
3.4000,2.000000,0.000001,2.000000,0.608220
3.4200,2.000000,0.000002,2.000000,0.608233
3.4400,2.000000,-0.000003,2.000000,0.608180
3.4600,2.000000,0.000002,2.000000,0.608231
3.4800,2.000000,0.000001,2.000000,0.608214
3.5000,2.000000,-0.000001,2.000000,0.608197
3.5200,2.000000,0.000001,2.000000,0.608224
3.5400,2.000000,-0.000000,2.000000,0.608206
3.5600,2.000000,-0.000000,2.000000,0.608213
3.5800,2.000000,-0.000000,2.000000,0.608208
3.6000,2.000000,0.000000,2.000000,0.608218
3.6200,2.000000,-0.000000,2.000000,0.608204
3.6400,2.000000,0.000001,2.000000,0.608222
3.6600,2.000000,-0.000001,2.000000,0.608201
3.6800,2.000000,0.000001,2.000000,0.608220
3.7000,2.000000,-0.000000,2.000000,0.608206
3.7200,2.000000,-0.000000,2.000000,0.608216
3.7400,2.000000,-0.000001,2.000000,0.608200
3.7600,2.000000,0.000002,2.000000,0.608231
3.7800,2.000000,-0.000001,2.000000,0.608195
3.8000,2.000000,0.000000,2.000000,0.608217
3.8200,2.000000,0.000000,2.000000,0.608215
3.8400,2.000000,-0.000000,2.000000,0.608204
3.8600,2.000000,0.000001,2.000000,0.608222
3.8800,2.000000,-0.000001,2.000000,0.608200
3.9000,2.000000,0.000001,2.000000,0.608220
3.9200,2.000000,-0.000000,2.000000,0.608207
3.9400,2.000000,-0.000000,2.000000,0.608216
3.9600,2.000000,-0.000000,2.000000,0.608202
3.9800,2.000000,0.000002,2.000000,0.608234
4.0000,2.000000,-0.000002,2.000000,0.608187
