time,position,velocity,setpoint,output
0.0000,0.514111,1.022488,2.000000,12.000000
0.0200,0.533196,1.061921,2.000000,12.000000
0.0400,0.552146,1.063635,2.000000,12.000000
0.0600,0.570062,1.063713,2.000000,12.000000
0.0800,0.590382,1.063718,2.000000,12.000000
0.1000,0.611657,1.063718,2.000000,12.000000
0.1200,0.632931,1.063718,2.000000,12.000000
0.1400,0.654206,1.063718,2.000000,12.000000
0.1600,0.676435,1.063717,2.000000,12.000000
0.1800,0.699097,1.063717,2.000000,12.000000
0.2000,0.721908,1.063717,2.000000,12.000000
0.2200,0.744772,1.063717,2.000000,12.000000
0.2400,0.767654,1.063717,2.000000,12.000000
0.2600,0.790543,1.063717,2.000000,12.000000
0.2800,0.813435,1.063717,2.000000,12.000000
0.3000,0.836328,1.063717,2.000000,12.000000
0.3200,0.859221,1.063717,2.000000,12.000000
0.3400,0.882114,1.063717,2.000000,12.000000
0.3600,0.905007,1.063717,2.000000,12.000000
0.3800,0.927900,1.063717,2.000000,12.000000
0.4000,0.950793,1.063717,2.000000,12.000000
0.4200,0.973686,1.063717,2.000000,12.000000
0.4400,0.996579,1.063717,2.000000,12.000000
0.4600,1.019473,1.063717,2.000000,12.000000
0.4800,1.042366,1.063717,2.000000,12.000000
0.5000,1.065259,1.063717,2.000000,12.000000
0.5200,1.088152,1.063717,2.000000,12.000000
0.5400,1.111045,1.063717,2.000000,12.000000
0.5600,1.133938,1.063717,2.000000,12.000000
0.5800,1.156832,1.063717,2.000000,12.000000
0.6000,1.179725,1.063717,2.000000,12.000000
0.6200,1.202618,1.063717,2.000000,12.000000
0.6400,1.225511,1.063717,2.000000,12.000000
0.6600,1.248404,1.063717,2.000000,12.000000
0.6800,1.271297,1.063717,2.000000,12.000000
0.7000,1.294191,1.063717,2.000000,12.000000
0.7200,1.317084,1.063717,2.000000,12.000000
0.7400,1.339977,1.063717,2.000000,12.000000
0.7600,1.362870,1.063717,2.000000,12.000000
0.7800,1.385763,1.063717,2.000000,12.000000
0.8000,1.408656,1.063717,2.000000,12.000000
0.8200,1.431550,1.063717,2.000000,12.000000
0.8400,1.454443,1.063717,2.000000,12.000000
0.8600,1.477336,1.063717,2.000000,12.000000
0.8800,1.500229,1.063717,2.000000,12.000000
0.9000,1.523122,1.063717,2.000000,12.000000
0.9200,1.546015,1.063717,2.000000,12.000000
0.9400,1.568908,1.063717,2.000000,12.000000
0.9600,1.591802,1.063717,2.000000,12.000000
0.9800,1.614695,1.063717,2.000000,12.000000
1.0000,1.637588,1.063717,2.000000,12.000000
1.0200,1.660481,1.063717,2.000000,12.000000
1.0400,1.683374,1.063717,2.000000,12.000000
1.0600,1.706267,1.063717,2.000000,12.000000
1.0800,1.725053,1.025702,2.000000,11.574231
1.1000,1.743129,0.961252,2.000000,10.872919
1.1200,1.760023,0.898182,2.000000,10.198049
1.1400,1.775774,0.839134,2.000000,9.567349
1.1600,1.790458,0.784070,2.000000,8.979308
1.1800,1.804147,0.732737,2.000000,8.431118
1.2000,1.816911,0.684879,2.000000,7.920045
1.2200,1.828813,0.640257,2.000000,7.443534
1.2400,1.839912,0.598648,2.000000,6.999207
1.2600,1.850263,0.559846,2.000000,6.584851
1.2800,1.859918,0.523657,2.000000,6.198407
1.3000,1.868924,0.489903,2.000000,5.837959
1.3200,1.877326,0.458415,2.000000,5.501724
1.3400,1.885230,0.429004,2.000000,5.188044
1.3600,1.892729,0.401313,2.000000,4.892963
1.3800,1.899733,0.375109,2.000000,4.612998
1.4000,1.906264,0.350626,2.000000,4.351528
1.4200,1.912356,0.327791,2.000000,4.107673
1.4400,1.918038,0.306494,2.000000,3.880250
1.4600,1.923338,0.286630,2.000000,3.668134
1.4800,1.928282,0.268101,2.000000,3.470275
1.5000,1.932894,0.250816,2.000000,3.285697
1.5200,1.937198,0.234689,2.000000,3.113492
1.5400,1.941214,0.219641,2.000000,2.952812
1.5600,1.944963,0.205599,2.000000,2.802871
1.5800,1.948461,0.192494,2.000000,2.662937
1.6000,1.951727,0.180262,2.000000,2.532326
1.6200,1.954776,0.168844,2.000000,2.410403
1.6400,1.957646,0.158171,2.000000,2.296579
1.6600,1.960370,0.148114,2.000000,2.189430
1.6800,1.962941,0.138581,2.000000,2.087722
1.7000,1.965340,0.129598,2.000000,1.991755
1.7200,1.967579,0.121209,2.000000,1.902175
1.7400,1.969668,0.113382,2.000000,1.818592
1.7600,1.971618,0.106078,2.000000,1.740603
1.7800,1.973437,0.099263,2.000000,1.667824
1.8000,1.975135,0.092901,2.000000,1.599902
1.8200,1.976720,0.086964,2.000000,1.536505
1.8400,1.978200,0.081422,2.000000,1.477326
1.8600,1.979582,0.076248,2.000000,1.422078
1.8800,1.980872,0.071417,2.000000,1.370493
1.9000,1.982077,0.066905,2.000000,1.322324
1.9200,1.983202,0.062692,2.000000,1.277340
1.9400,1.984254,0.058757,2.000000,1.235323
1.9600,1.985236,0.055081,2.000000,1.196075
1.9800,1.986154,0.051647,2.000000,1.159407
2.0000,1.987011,0.048438,2.000000,1.125146
2.0200,1.987821,0.045434,2.000000,1.093130
2.0400,1.988590,0.042595,2.000000,1.062884
2.0600,1.989319,0.039902,2.000000,1.034171
2.0800,1.990007,0.037351,2.000000,1.006957
2.1000,1.990650,0.034947,2.000000,0.981272
2.1200,1.991250,0.032700,2.000000,0.957285
2.1400,1.991810,0.030603,2.000000,0.934892
2.1600,1.992332,0.028645,2.000000,0.913986
2.1800,1.992821,0.026817,2.000000,0.894467
2.2000,1.993277,0.025110,2.000000,0.876242
2.2200,1.993702,0.023516,2.000000,0.859221
2.2400,1.994100,0.022027,2.000000,0.843325
2.2600,1.994472,0.020637,2.000000,0.828476
2.2800,1.994819,0.019337,2.000000,0.814605
2.3000,1.995143,0.018124,2.000000,0.801645
2.3200,1.995446,0.016989,2.000000,0.789535
