time,position,velocity,setpoint,output
0.0000,0.500000,0.000000,0.500000,0.608212
0.0200,0.500000,0.000000,0.500000,0.608212
0.0400,0.500000,0.000000,0.500000,0.608212
0.0600,0.500000,0.000000,0.500000,0.608212
0.0800,0.500000,-0.000000,0.500000,0.608212
0.1000,0.500000,-0.000000,0.500000,0.608212
0.1200,0.500000,-0.000000,0.500000,0.608212
0.1400,0.500000,-0.000000,0.500000,0.608212
0.1600,0.500000,-0.000000,0.500000,0.608212
0.1800,0.500000,-0.000000,0.500000,0.608212
0.2000,0.500000,-0.000000,0.500000,0.608212
0.2200,0.500000,-0.000000,0.500000,0.608212
0.2400,0.500000,-0.000000,0.500000,0.608212
0.2600,0.500000,-0.000000,0.500000,0.608212
0.2800,0.500000,-0.000000,0.500000,0.608212
0.3000,0.500000,-0.000000,0.500000,0.608212
0.3200,0.500000,-0.000000,0.500000,0.608212
0.3400,0.500000,-0.000000,0.500000,0.608212
0.3600,0.500000,-0.000000,0.500000,0.608212
0.3800,0.500000,-0.000000,0.500000,0.608212
0.4000,0.500000,-0.000000,0.500000,0.608212
0.4200,0.500000,-0.000000,0.500000,0.608212
0.4400,0.500000,-0.000000,0.500000,0.608212
0.4600,0.500000,-0.000000,0.500000,0.608212
0.4800,0.500000,-0.000000,0.500000,0.608212
0.5000,0.500000,-0.000000,0.500000,0.608212
0.5200,0.500000,-0.000000,0.500000,0.608212
0.5400,0.500000,-0.000000,0.500000,0.608212
0.5600,0.500000,-0.000000,0.500000,0.608212
0.5800,0.500000,-0.000000,0.500000,0.608212
0.6000,0.500000,-0.000000,0.500000,0.608212
0.6200,0.500000,-0.000000,0.500000,0.608212
0.6400,0.500000,-0.000000,0.500000,0.608212
0.6600,0.500000,-0.000000,0.500000,0.608212
0.6800,0.500000,-0.000000,0.500000,0.608212
0.7000,0.500000,-0.000000,0.500000,0.608212
0.7200,0.500000,-0.000000,0.500000,0.608212
0.7400,0.500000,-0.000000,0.500000,0.608212
0.7600,0.500000,-0.000000,0.500000,0.608212
0.7800,0.500000,-0.000000,0.500000,0.608212
0.8000,0.500000,-0.000000,0.500000,0.608212
0.8200,0.500000,-0.000000,0.500000,0.608212
0.8400,0.500000,-0.000000,0.500000,0.608212
0.8600,0.500000,-0.000000,0.500000,0.608212
0.8800,0.500000,-0.000000,0.500000,0.608212
0.9000,0.500000,-0.000000,0.500000,0.608212
0.9200,0.500000,-0.000000,0.500000,0.608212
0.9400,0.500000,-0.000000,0.500000,0.608212
0.9600,0.500000,-0.000000,0.500000,0.608212
0.9800,0.500000,-0.000000,0.500000,0.608212
1.0000,0.500000,-0.000000,0.500000,0.608212
1.0200,0.500000,-0.000000,0.500000,0.608212
1.0400,0.500000,-0.000000,0.500000,0.608212
1.0600,0.500000,-0.000000,0.500000,0.608212
1.0800,0.500000,-0.000000,0.500000,0.608212
1.1000,0.500000,-0.000000,0.500000,0.608212
1.1200,0.500000,-0.000000,0.500000,0.608212
1.1400,0.500000,-0.000000,0.500000,0.608212
1.1600,0.500000,-0.000000,0.500000,0.608212
1.1800,0.500000,-0.000000,0.500000,0.608212
1.2000,0.500000,-0.000000,0.500000,0.608212
1.2200,0.500000,-0.000000,0.500000,0.608212
1.2400,0.500000,-0.000000,0.500000,0.608212
1.2600,0.500000,-0.000000,0.500000,0.608212
1.2800,0.500000,-0.000000,0.500000,0.608212
1.3000,0.500000,-0.000000,0.500000,0.608212
1.3200,0.500000,-0.000000,0.500000,0.608212
1.3400,0.500000,-0.000000,0.500000,0.608212
1.3600,0.500000,-0.000000,0.500000,0.608212
1.3800,0.500000,-0.000000,0.500000,0.608212
1.4000,0.500000,-0.000000,0.500000,0.608212
1.4200,0.500000,-0.000000,0.500000,0.608212
1.4400,0.500000,-0.000000,0.500000,0.608212
1.4600,0.500000,-0.000000,0.500000,0.608212
1.4800,0.500000,-0.000000,0.500000,0.608212
1.5000,0.500000,-0.000000,0.500000,0.608212
1.5200,0.500000,-0.000000,0.500000,0.608212
1.5400,0.500000,-0.000000,0.500000,0.608212
1.5600,0.500000,-0.000000,0.500000,0.608212
1.5800,0.500000,-0.000000,0.500000,0.608212
1.6000,0.500000,-0.000000,0.500000,0.608212
1.6200,0.500000,-0.000000,0.500000,0.608212
1.6400,0.500000,-0.000000,0.500000,0.608212
1.6600,0.500000,-0.000000,0.500000,0.608212
1.6800,0.500000,-0.000000,0.500000,0.608212
1.7000,0.500000,-0.000000,0.500000,0.608212
1.7200,0.500000,-0.000000,0.500000,0.608212
1.7400,0.500000,-0.000000,0.500000,0.608212
1.7600,0.500000,-0.000000,0.500000,0.608212
1.7800,0.500000,-0.000000,0.500000,0.608212
1.8000,0.500000,-0.000000,0.500000,0.608212
1.8200,0.500000,-0.000001,0.500000,0.608212
1.8400,0.500000,-0.000001,0.500000,0.608212
1.8600,0.500000,-0.000001,0.500000,0.608212
1.8800,0.500000,-0.000001,0.500000,0.608212
1.9000,0.500000,-0.000001,0.500000,0.608212
1.9200,0.500000,-0.000001,0.500000,0.608212
